Area,Sex,Yr,Age,F
1,2,1970,15,0.01656575
2,2,1970,15,0.00457750000000001
1,1,1971,15,0.00855875
2,1,1971,15,0.0178075
1,2,1971,15,0.0264465
2,2,1971,15,0.0116275
1,1,1972,15,0.0096485
2,1,1972,15,0.015632
1,2,1972,15,0.0272515
2,2,1972,15,0.01114325
1,1,1973,15,0.00792874999999998
2,1,1973,15,0.00350499999999998
1,2,1973,15,0.025495
2,2,1973,15,0.00461349999999999
1,1,1974,15,0.01007825
2,1,1974,15,0.00574474999999999
1,2,1974,15,0.03106875
2,2,1974,15,0.00701750000000001
1,1,1975,15,0.00473274999999998
2,1,1975,15,0.00518874999999999
1,2,1975,15,0.0151815
2,2,1975,15,0.00677224999999998
1,1,1976,15,0.00828699999999999
2,1,1976,15,0.00883699999999998
1,2,1976,15,0.0264595
2,2,1976,15,0.01074725
1,1,1977,15,0.00177125
2,1,1977,15,0.0036795
1,2,1977,15,0.00600525000000002
2,2,1977,15,0.00559150000000003
1,1,1978,15,0.00396249999999998
2,1,1978,15,0.00144849999999999
1,2,1978,15,0.01268925
2,2,1978,15,0.00329499999999999
1,1,1979,15,0.00541149999999999
2,1,1979,15,0.00737450000000001
1,2,1979,15,0.01792375
2,2,1979,15,0.0105205
1,1,1980,15,0.00670699999999999
2,1,1980,15,0.0088985
1,2,1980,15,0.0222015
2,2,1980,15,0.0109995
1,1,1981,15,0.00759650000000001
2,1,1981,15,0.0155735
1,2,1981,15,0.025342
2,2,1981,15,0.0169865
1,1,1982,15,0.00859024999999999
2,1,1982,15,0.0113505
1,2,1982,15,0.0279145
2,2,1982,15,0.014274
1,1,1983,15,0.00575575
2,1,1983,15,0.00635324999999998
1,2,1983,15,0.01862875
2,2,1983,15,0.00880025000000001
1,1,1984,15,0.00654649999999998
2,1,1984,15,0.008216
1,2,1984,15,0.02140475
2,2,1984,15,0.00967899999999999
1,1,1985,15,0.00844524999999999
2,1,1985,15,0.00559999999999999
1,2,1985,15,0.02745775
2,2,1985,15,0.01013175
1,1,1986,15,0.00705749999999999
2,1,1986,15,0.009852
1,2,1986,15,0.02232775
2,2,1986,15,0.01477425
1,1,1987,15,0.00752799999999998
2,1,1987,15,0.00870674999999999
1,2,1987,15,0.02336075
2,2,1987,15,0.01406925
1,1,1988,15,0.01032425
2,1,1988,15,0.0114435
1,2,1988,15,0.031996
2,2,1988,15,0.0203865
1,1,1989,15,0.011004
2,1,1989,15,0.00652975
1,2,1989,15,0.0309395
2,2,1989,15,0.01232575
1,1,1990,15,0.00867925
2,1,1990,15,0.006991
1,2,1990,15,0.0234615
2,2,1990,15,0.0128725
1,1,1991,15,0.00760775
2,1,1991,15,0.00616125000000001
1,2,1991,15,0.02203425
2,2,1991,15,0.0102495
1,1,1992,15,0.00990349999999998
2,1,1992,15,0.00938275
1,2,1992,15,0.02806575
2,2,1992,15,0.01274225
1,1,1993,15,0.00782224999999998
2,1,1993,15,0.00363574999999999
1,2,1993,15,0.02191375
2,2,1993,15,0.00839600000000001
1,1,1994,15,0.00827700000000001
2,1,1994,15,0.00637549999999998
1,2,1994,15,0.02591425
2,2,1994,15,0.0143015
1,1,1995,15,0.00589899999999999
2,1,1995,15,0.00446425
1,2,1995,15,0.0186755
2,2,1995,15,0.00985075000000002
1,1,1996,15,0.0108025
2,1,1996,15,0.00536
1,2,1996,15,0.033924
2,2,1996,15,0.012118
1,1,1997,15,0.02080125
2,1,1997,15,0.00567675000000001
1,2,1997,15,0.0622425
2,2,1997,15,0.01218375
1,1,1998,15,0.02320725
2,1,1998,15,0.01043725
1,2,1998,15,0.068103
2,2,1998,15,0.0226585
1,1,1999,15,0.02531175
2,1,1999,15,0.0129625
1,2,1999,15,0.073093
2,2,1999,15,0.0269675
1,1,2000,15,0.02530975
2,1,2000,15,0.01688925
1,2,2000,15,0.0739
2,2,2000,15,0.0345725
1,1,2001,15,0.0251475
