Fleet,Length,Sel
10,76.5,0.195228
11,76.5,0.00859906
12,76.5,0.00108466
13,76.5,0.0213326
14,76.5,0.00108466
15,76.5,0.195228
16,76.5,0.00859906
17,76.5,0.00108466
18,76.5,0.195228
19,76.5,0.00859906
20,76.5,0.0681195
21,76.5,0.0213326
1,77.5,0.204605
2,77.5,0.07654
3,77.5,0.0354835
4,77.5,0.0369523
5,77.5,0.07654
6,77.5,0.0354835
7,77.5,0.07654
8,77.5,0.204605
9,77.5,0.07654
10,77.5,0.204605
11,77.5,0.00959079
12,77.5,0.00113529
13,77.5,0.0248836
14,77.5,0.00113529
15,77.5,0.204605
16,77.5,0.00959079
17,77.5,0.00113529
18,77.5,0.204605
19,77.5,0.00959079
20,77.5,0.07654
21,77.5,0.0248836
1,78.5,0.214286
2,78.5,0.0857793
3,78.5,0.0375868
4,78.5,0.0413327
5,78.5,0.0857793
6,78.5,0.0375868
7,78.5,0.0857793
8,78.5,0.214286
9,78.5,0.0857793
10,78.5,0.214286
11,78.5,0.0106833
12,78.5,0.00118828
13,78.5,0.0289346
14,78.5,0.00118828
15,78.5,0.214286
16,78.5,0.0106833
17,78.5,0.00118828
18,78.5,0.214286
19,78.5,0.0106833
20,78.5,0.0857793
21,78.5,0.0289346
1,79.5,0.224272
2,79.5,0.0958858
3,79.5,0.0398096
4,79.5,0.0461429
5,79.5,0.0958858
6,79.5,0.0398096
7,79.5,0.0958858
8,79.5,0.224272
9,79.5,0.0958858
10,79.5,0.224272
11,79.5,0.0118853
12,79.5,0.00124375
13,79.5,0.0335394
14,79.5,0.00124375
15,79.5,0.224272
16,79.5,0.0118853
17,79.5,0.00124375
18,79.5,0.224272
19,79.5,0.0118853
20,79.5,0.0958858
21,79.5,0.0335394
1,80.5,0.234563
2,80.5,0.106906
3,80.5,0.0421582
4,80.5,0.0514134
5,80.5,0.106906
6,80.5,0.0421582
7,80.5,0.106906
8,80.5,0.234563
9,80.5,0.106906
10,80.5,0.234563
11,80.5,0.0132057
12,80.5,0.00130179
13,80.5,0.038755
14,80.5,0.00130179
15,80.5,0.234563
16,80.5,0.0132057
17,80.5,0.00130179
18,80.5,0.234563
19,80.5,0.0132057
20,80.5,0.106906
21,80.5,0.038755
1,81.5,0.245158
2,81.5,0.118886
3,81.5,0.0446388
4,81.5,0.0571751
5,81.5,0.118886
6,81.5,0.0446388
7,81.5,0.118886
8,81.5,0.245158
9,81.5,0.118886
10,81.5,0.245158
11,81.5,0.0146543
12,81.5,0.00136255
13,81.5,0.0446411
14,81.5,0.00136255
15,81.5,0.245158
16,81.5,0.0146543
17,81.5,0.00136255
18,81.5,0.245158
19,81.5,0.0146543
20,81.5,0.118886
21,81.5,0.0446411
1,82.5,0.256057
2,82.5,0.131867
3,82.5,0.0472583
4,82.5,0.0634595
5,82.5,0.131867
6,82.5,0.0472583
7,82.5,0.131867
8,82.5,0.256057
9,82.5,0.131867
10,82.5,0.256057
11,82.5,0.0162411
12,82.5,0.00142613
13,82.5,0.0512598
14,82.5,0.00142613
15,82.5,0.256057
16,82.5,0.0162411
17,82.5,0.00142613
18,82.5,0.256057
19,82.5,0.0162411
20,82.5,0.131867
21,82.5,0.0512598
1,83.5,0.267257
2,83.5,0.145887
3,83.5,0.0500234
4,83.5,0.0702984
5,83.5,0.145887
6,83.5,0.0500234
7,83.5,0.145887
8,83.5,0.267257
9,83.5,0.145887
10,83.5,0.267257
11,83.5,0.017977
12,83.5,0.00149268
13,83.5,0.058675
14,83.5,0.00149268
15,83.5,0.267257
16,83.5,0.017977
17,83.5,0.00149268
18,83.5,0.267257
19,83.5,0.017977
20,83.5,0.145887
21,83.5,0.058675
1,84.5,0.278757
2,84.5,0.160982
3,84.5,0.0529412
4,84.5,0.0777238
5,84.5,0.160982
6,84.5,0.0529412
7,84.5,0.160982
8,84.5,0.278757
9,84.5,0.160982
10,84.5,0.278757
11,84.5,0.0198733
12,84.5,0.00156232
13,84.5,0.066952
14,84.5,0.00156232
15,84.5,0.278757
16,84.5,0.0198733
17,84.5,0.00156232
18,84.5,0.278757
19,84.5,0.0198733
